,valuation_date,code,final_score,score_name
147,2025-05-14,600057.SH,1.2675467965915457,a1
148,2025-05-14,002673.SZ,1.2643976120037406,a1
149,2025-05-14,600409.SH,1.2612484274159355,a1
150,2025-05-14,603730.SH,1.2580992428281303,a1
151,2025-05-14,300408.SZ,1.2549500582403252,a1
152,2025-05-14,002185.SZ,1.2518008736525201,a1
153,2025-05-14,300009.SZ,1.2486516890647152,a1
154,2025-05-14,688008.SH,1.2455025044769101,a1
155,2025-05-14,603876.SH,1.242353319889105,a1
156,2025-05-14,002460.SZ,1.2392041353013,a1
157,2025-05-14,601568.SH,1.2360549507134948,a1
158,2025-05-14,603989.SH,1.2329057661256897,a1
159,2025-05-14,603019.SH,1.2297565815378846,a1
160,2025-05-14,603306.SH,1.2266073969500795,a1
161,2025-05-14,003022.SZ,1.2234582123622746,a1
162,2025-05-14,000009.SZ,1.2203090277744695,a1
163,2025-05-14,002230.SZ,1.2171598431866644,a1
164,2025-05-14,603018.SH,1.2140106585988593,a1
165,2025-05-14,002705.SZ,1.2108614740110542,a1
166,2025-05-14,600761.SH,1.207712289423249,a1
167,2025-05-14,002340.SZ,1.204563104835444,a1
168,2025-05-14,002756.SZ,1.2014139202476388,a1
169,2025-05-14,301165.SZ,1.1982647356598337,a1
170,2025-05-14,603319.SH,1.1951155510720288,a1
171,2025-05-14,300547.SZ,1.1919663664842237,a1
172,2025-05-14,688012.SH,1.1888171818964186,a1
173,2025-05-14,000021.SZ,1.1856679973086135,a1
174,2025-05-14,601898.SH,1.1825188127208084,a1
175,2025-05-14,000726.SZ,1.1793696281330033,a1
176,2025-05-14,000988.SZ,1.1762204435451982,a1
177,2025-05-14,002690.SZ,1.173071258957393,a1
178,2025-05-14,002367.SZ,1.1699220743695882,a1
179,2025-05-14,603368.SH,1.166772889781783,a1
180,2025-05-14,603358.SH,1.163623705193978,a1
181,2025-05-14,600336.SH,1.1604745206061728,a1
182,2025-05-14,601727.SH,1.1573253360183677,a1
183,2025-05-14,002821.SZ,1.1541761514305626,a1
184,2025-05-14,002038.SZ,1.1510269668427575,a1
185,2025-05-14,600120.SH,1.1478777822549524,a1
186,2025-05-14,002600.SZ,1.1447285976671475,a1
187,2025-05-14,000700.SZ,1.1415794130793424,a1
188,2025-05-14,000886.SZ,1.1384302284915373,a1
189,2025-05-14,601500.SH,1.1352810439037322,a1
190,2025-05-14,601236.SH,1.132131859315927,a1
191,2025-05-14,002797.SZ,1.128982674728122,a1
192,2025-05-14,000425.SZ,1.1258334901403169,a1
193,2025-05-14,002223.SZ,1.1226843055525118,a1
194,2025-05-14,600745.SH,1.1195351209647069,a1
195,2025-05-14,603882.SH,1.1163859363769018,a1
196,2025-05-14,300454.SZ,1.1132367517890966,a1
197,2025-05-14,600635.SH,1.1100875672012915,a1
198,2025-05-14,603659.SH,1.1069383826134864,a1
199,2025-05-14,002601.SZ,1.1037891980256813,a1
200,2025-05-14,301308.SZ,1.1006400134378762,a1
201,2025-05-14,300770.SZ,1.097490828850071,a1
