,代码,市场,数量,相对权重,方向,量比,valuation_date,update_time
181,603187.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
182,600197.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
183,603858.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
184,600109.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
185,601311.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
186,300002.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
187,688567.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
188,603658.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
189,601990.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
190,603565.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
191,000928.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
192,600979.SH,,400.0,,1,,2025-06-11,2025-06-11 17:58
193,000009.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
194,688188.SH,,180.0,,1,,2025-06-11,2025-06-11 17:58
195,600597.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
196,000589.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
197,000039.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
198,000598.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
199,600348.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
200,600888.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
201,600703.SH,,300.0,,1,,2025-06-11,2025-06-11 17:58
202,002273.SZ,,300.0,,1,,2025-06-11,2025-06-11 17:58
203,002939.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
204,603368.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
205,002945.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
206,000932.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
207,002423.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
208,000728.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
209,002034.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
210,600704.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
211,688390.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
212,601857.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
213,600282.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
214,600479.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
215,002643.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
216,002841.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
217,002242.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
218,002449.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
219,300024.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
220,603568.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
221,600742.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
222,603466.SH,,29400.0,,0,,2025-06-11,2025-06-11 17:58
223,000731.SZ,,1800.0,,0,,2025-06-11,2025-06-11 17:58
224,600820.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
225,601000.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
226,601101.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
227,002649.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
228,600064.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
